#,Parameters,Joblet parameter,Joblet param data type,Description,Mandatory,Field name in client file,
0,meta,,,,Mandatory,,
,senderID,meta_senderId,String,"Identifier of the sender. Example: ""companyName""",Mandatory,"variable ""Sender ID""",
1,duplicateReceiverId,,,"Identifier of the receiver. Value is always ""shippeo""",Constant,,
1,messageType,,,"Value is always ""GTF511""",Constant,,
1,messageDate,meta_messageDate,Date,Message datetime,Mandatory,,
1,messageFunction,meta_messageFunction,String,How to differentiate creation from modification or cancellation ?,Mandatory,,
1,messageReference,meta_messageReference,String,Unique message identifier,Mandatory,,
0,shipment,,,,Mandatory,,
1,technicalReference,shipment_technicalReference,String,"External shipment reference (ie. tour).
If there is no tour, put the same reference as the displayed order reference.",Mandatory,Tour reference  ( Column 2 ),
1,reference,shipment_reference,String,Displayed shipment reference on Shippeo (ie. tour),Optional,Tour reference  ( Column 2 ),
1,transportServiceBuyer,,,,Mandatory,,
2,     identifier,transportservicebuyer_ZZidentifier,String,EDI of the shipper's agency,Mandatory,Customer ID ( Column 5 ),
2,     qualifier,,,"""ZZ""",Constant,,
1,carrier,,,,Mandatory,,
2,     identifier,,,EDI of the carrier's agency,Mandatory,,
,,carrier_identifierZZ,String,,,Carrier ID ( Column 3 ),
2,     qualifier,,,"Value is ""ZZ"" (subcontractor) or ""00"" (own fleet)",Constant,,
1,transportMean,transportMean_list,List,,Optional,,
2,     qualifier,,,"""truck""",Constant,,
2,     identifier,,,External ID of the trailer,Potentially mandatory,licence_plate ( Column 8 ),
1,transportMode,shipment_transportMode,String,"""maritime"" or ""road"" (""road"" by default).
It has to be aligned with the transport mean mode.",Optional,mode ( Column 7),
1,orders,,,,Optional,,
2,     goodsDescription,goodsDescription,String,"Description of the goods (free text). If you do not have input, put ""General goods""",Mandatory,"force ""general goods""",
2,     references,,,,Mandatory,,
3,          qualifier,,,"""DQ""",Constant,,
3,          reference,order_reference_DQ,String,Displayed order reference,Mandatory,Transport Order Ref (column 4 ),
3,          qualifier,,,"""ADL""",Constant,,
3,          reference,order_reference_ADL,String,Customer order reference,Optional,ADL reference (Column 6),
2,     pickUp,,,Loading site,Mandatory,,
3,          identifications,,,,Optional,,
4,               identifier,pickup_identifier,String,EDI reference of the loading site (Mandatory if existing address) or UN/LOCODE of the port of loading,Potentially mandatory,Pick up ID (Column 9),
4,               qualifier,pickup_qualifier,String,"Value is either ""ZZ"" or ""UNLOCODE""",Constant,"Force ""ZZ""",
3,          name,pickup_name,String,Site name,Mandatory,Pick up name (Column 10),
3,          address1,pickup_address1,String,"Site address
Mandatory if creation of the address.",Potentially mandatory,Pick up address1(col 11),
3,          address2,pickup_address2,String,,Optional,,
3,          country,pickup_country,String,"Country 2 letters code
Mandatory if creation of the address.",Potentially mandatory,Pick up country (Column 13) ,
3,          postalCode,pickup_postalCode,String,"Postal code
Mandatory if creation of the address.",Potentially mandatory,Pick up postalCode (Column 14) ,
3,          city,pickup_city,String,"City
Mandatory if creation of the address.",Potentially mandatory,Pick up city (Column 15),
3,          state,,,"State
Optional. Only applicable for US / Canada. ",Optional,Pick up Federal State (Column 12),
3,          latitude,pickup_latitude,Double,Site latitude. Example: 48.911745,Optional,Pick up latitude (Column 16) ,
3,          longitude,pickup_longitude,Double,Site longitude. Example: 2.436458,Optional,Pick up longitude (Column 17),
3,          dates,,,,Mandatory,,
4,               qualifier,,,"""234""",Constant,,
4,               dateTime,pickup_date234,Date,Start of the pick-up slot.,Potentially mandatory,"Pick up Start (Column 18) 

Check the conditions","Trim the value of the column 18 and column 20. 

If the two values are NOT null or EMPTY, use this parameter 

Timezone: Column 19. Trim it, if null or empty, consider timezone = UTC. "
4,               qualifier,,,"""235""",Constant,,
4,               dateTime,pickup_date235,Date,End of the pick-up slot.,Potentially mandatory,"Pick up end (Column 20) 

Check the conditions","Trim the value of the column 18 and column 20. 

If the two values are NOT null or EMPTY, use this parameter 

Timezone: Column 21. Trim it, if null or empty, consider timezone = UTC. "
4,               qualifier,,,"""398""",Constant,,
4,               dateTime,pickup_date398,Date,Planned pick-up datetime,Potentially mandatory,"Pick up Start (Column 18) 

Check the conditions","To be used ONLY IF column 18 is empty (after trimming it) or NULL.

Timezone: Column 19. Trim it, if null or empty, consider timezone = UTC. "
4,               qualifier,,,"""473""",,,
2,     consignee,,,Delivery site,Mandatory,,
3,          identifications,,,,Optional,,
4,               identifier,consignee_identifier,String,EDI reference of the delivery site (Mandatory if existing address) or UN/LOCODE of the port of discharge,Potentially mandatory,Consignee ID (Column 22),
4,               qualifier,consignee_qualifier,String,"Value is either ""ZZ"" or ""UNLOCODE""",Constant,"Force ""ZZ""",
3,          name,consignee_name,String,Site name,Mandatory,Consignee name (Column 23),
3,          address1,consignee_address1,String,"Site address
Mandatory if creation of the address.",Potentially mandatory,Consignee address1 (Column 24),
3,          country,consignee_country,String,"Country 2 letters code
Mandatory if creation of the address.",Potentially mandatory,Consignee country (Column 26),
3,          postalCode,consignee_postalCode,String,"Postal code
Mandatory if creation of the address.",Potentially mandatory,Consignee postalCode (Column 27),
3,          city,consignee_city,String,"City
Mandatory if creation of the address.",Potentially mandatory,Consignee city (Column 28),
3,          state,,,"State
Optional. Only applicable for US / Canada. ",Optional,Consignee Federal State (Column 25),
3,          latitude,consignee_latitude,Double,Site latitude. Example: 48.911745,Optional,Consignee latitude (Column 29),
3,          longitude,consignee_longitude,Double,Site longitude. Example: 2.436458,Optional,Consignee longitude (Column 30),
3,          dates,,,,Mandatory,,
4,               qualifier,,,"""64""",Constant,,
4,               dateTime,consignee_date64,Date,Start of the delivery slot.,Potentially mandatory,"Consignee Start (Col 31)

Check the conditions","Trim the value of the column 31 and column 33. 

If the two values are NOT null or EMPTY, use this parameter 

Timezone: Column 32. Trim it, if null or empty, consider timezone = UTC. "
4,               qualifier,,,"""63""",Constant,,
4,               dateTime,consignee_date63,Date,End of the delivey slot.,Potentially mandatory,"Consignee end (col 33)

Check the conditions","Trim the value of the column 31 and column 33. 

If the two values are NOT null or EMPTY, use this parameter 

Timezone: Column 34. Trim it, if null or empty, consider timezone = UTC. "
4,               qualifier,,,"""2""",Constant,,
4,               dateTime,consignee_date2,Date,Planned delivery datetime,Potentially mandatory,"Consignee Start (Col 31)

Check the conditions","To be used ONLY IF column 21 is empty (after trimming it) or NULL.

Timezone: Column 32. Trim it, if null or empty, consider timezone = UTC. "
2,     quantity,,,Freight measures,Optional,,
3,          grossWeight,quantity_grossWeight,Float,Weight in kg,Optional,Weight (Column 35),
